disruptive_analysis_revenue,disruptive_analysis_rd_intensity,disruptive_analysis_margin_trend,disruptive_analysis_growth_rate,valuation_analysis_market_cap,valuation_analysis_margin_of_safety,price_change_6m,date,ticker
93580000000.0,0.12872408634323573,-0.01200000000000001,0.02661430107290958,1203062645959.0,-0.27787340673293087,0.15463464636110685,2020-01-01,MSFT
107006000000.0,0.11718969029774032,-0.07999999999999996,-0.2131159596137866,916153935005.0,-0.7022159121753097,-0.04476840363937137,2020-01-01,AMZN
4046025000.0,0.17743340686229075,0.062,-0.42200732786181744,75401831447.0,-2.0487080728738367,0.8630594522378089,2020-01-01,TSLA
843497400000.0,0.07770575226432233,0.02699999999999997,-0.11017689653429975,301311020922.0,32.2006628739352,0.4240196078431374,2020-01-01,TSM
4682000000.0,0.290474156343443,-0.05699999999999994,-0.0654690618762475,124564860000.0,-0.7633459168393065,0.44827586206896564,2020-01-01,NVDA
233715000000.0,0.034516398177267184,0.02300000000000002,0.0838252820686425,1287658197000.0,0.9844108206583131,0.44850039463299124,2020-01-01,AAPL
6779511000.0,0.0959933540929427,-0.06,-0.2322766259272089,141804969582.0,-1.2372301756933568,-0.1381349386037344,2020-01-01,NFLX
49161000000.0,0.12625861963751756,-0.025000000000000022,-0.001746299266960424,199104111787.0,1.0869617620977188,-0.1406557964522487,2020-01-01,CSCO
55355000000.0,0.21909493270707253,0.040000000000000036,-0.06789364675770791,261348000000.0,0.6382617506397117,0.2437655860349128,2020-01-01,INTC
81741000000.0,0.0641905530884134,-0.04800000000000004,0.022798083059097335,118710844334.0,3.1564237240603226,-0.04401342782543831,2020-01-01,IBM
40704000000.0,0.0,0.02300000000000002,0.03178707224334601,37821522102.0,3.8236788574116476,-0.001024940211821016,2020-01-01,DAL
3637206000.0,0.30010590546699856,-0.0040000000000000036,0.3975831672428441,16768380000.0,0.4183704609111375,0.10528506034124001,2020-01-01,MRVL
19958700000.0,0.2403162530625742,-0.040000000000000036,-0.05953228002883786,126189987233.0,-0.4222232927070265,0.15087565674255696,2020-01-01,LLY
837591000.0,0.2500599934813053,0.008000000000000007,-0.2582222115949191,15539567177.0,-0.4867574512947057,-0.23341375150784063,2020-01-01,ANET
241432000.0,0.3044749660359853,-0.17200000000000004,-0.520406825450428,5518403176.0,-1.3251726759247582,0.16903515332834718,2020-01-01,NTNX
107927000000.0,0.12608522427196162,0.015000000000000013,-0.034469493648237606,141806000000.0,7.541975117135683,0.1139337952270978,2020-01-01,NVO
3991000000.0,0.23728388874968678,-0.15499999999999997,-0.07594350544107432,51427319243.0,-1.2235884820969356,0.46798975672215115,2020-01-01,AMD
48851000000.0,0.15741745307158503,0.0,-0.07521202483719522,216826914222.0,1.227979135186686,-0.11397557666214381,2020-01-01,PFE
93580000000.0,0.12872408634323573,-0.01200000000000001,0.02661430107290958,1203062645959.0,-0.27787340673293087,0.15463464636110685,2020-06-29,MSFT
107006000000.0,0.11718969029774032,-0.07999999999999996,-0.2131159596137866,916153935005.0,-0.7022159121753097,-0.04476840363937137,2020-06-29,AMZN
4046025000.0,0.17743340686229075,0.062,-0.42200732786181744,75401831447.0,-2.0487080728738367,0.8630594522378089,2020-06-29,TSLA
843497400000.0,0.07770575226432233,0.02699999999999997,-0.11017689653429975,301311020922.0,32.2006628739352,0.4240196078431374,2020-06-29,TSM
5010000000.0,0.2656686626746507,-0.05899999999999994,-0.27496382054992763,124564860000.0,-0.6777976706284224,0.44827586206896564,2020-06-29,NVDA
233715000000.0,0.034516398177267184,0.02300000000000002,0.0838252820686425,1287658197000.0,0.9844108206583131,0.44850039463299124,2020-06-29,AAPL
6779511000.0,0.0959933540929427,-0.06,-0.2322766259272089,141804969582.0,-1.2372301756933568,-0.1381349386037344,2020-06-29,NFLX
49161000000.0,0.12625861963751756,-0.025000000000000022,-0.001746299266960424,199104111787.0,1.0869617620977188,-0.1406557964522487,2020-06-29,CSCO
55355000000.0,0.21909493270707253,0.040000000000000036,-0.06789364675770791,261348000000.0,0.6382617506397117,0.2437655860349128,2020-06-29,INTC
81741000000.0,0.0641905530884134,-0.04800000000000004,0.022798083059097335,118710844334.0,3.1564237240603226,-0.04401342782543831,2020-06-29,IBM
40704000000.0,0.0,0.02300000000000002,0.03178707224334601,37821522102.0,3.8236788574116476,-0.001024940211821016,2020-06-29,DAL
2602497000.0,0.366821940620873,-0.04299999999999998,0.1310326154980113,16768380000.0,-0.6513965899989176,0.10528506034124001,2020-06-29,MRVL
19958700000.0,0.2403162530625742,-0.040000000000000036,-0.05953228002883786,126189987233.0,-0.4222232927070265,0.15087565674255696,2020-06-29,LLY
837591000.0,0.2500599934813053,0.008000000000000007,-0.2582222115949191,15539567177.0,-0.4867574512947057,-0.23341375150784063,2020-06-29,ANET
241432000.0,0.3044749660359853,-0.17200000000000004,-0.520406825450428,5518403176.0,-1.3251726759247582,0.16903515332834718,2020-06-29,NTNX
107927000000.0,0.12608522427196162,0.015000000000000013,-0.034469493648237606,141806000000.0,7.541975117135683,0.1139337952270978,2020-06-29,NVO
3991000000.0,0.23728388874968678,-0.15499999999999997,-0.07594350544107432,51427319243.0,-1.2235884820969356,0.46798975672215115,2020-06-29,AMD
48851000000.0,0.15741745307158503,0.0,-0.07521202483719522,216826914222.0,1.227979135186686,-0.11397557666214381,2020-06-29,PFE
91154000000.0,0.13151370208657875,-0.038000000000000034,-0.05609344420167545,1203062645959.0,-0.23958158181597017,0.15463464636110685,2020-12-26,MSFT
595409000.0,0.4794200289212961,0.04799999999999993,0,15657900000.0,-1.1216513976784035,1.9210526315789473,2020-12-26,PLTR
107006000000.0,0.11718969029774032,-0.07999999999999996,-0.2131159596137866,916153935005.0,-0.7022159121753097,-0.04476840363937137,2020-12-26,AMZN
4046025000.0,0.17743340686229075,0.062,-0.42200732786181744,75401831447.0,-2.0487080728738367,0.8630594522378089,2020-12-26,TSLA
843497400000.0,0.07770575226432233,0.02699999999999997,-0.11017689653429975,301311020922.0,32.2006628739352,0.4240196078431374,2020-12-26,TSM
5010000000.0,0.2656686626746507,-0.05899999999999994,-0.27496382054992763,124564860000.0,-0.6777976706284224,0.44827586206896564,2020-12-26,NVDA
215639000000.0,0.046582482760539605,0.009000000000000008,-0.05930621112051441,1287658197000.0,0.52139679659431,0.44850039463299124,2020-12-26,AAPL
6779511000.0,0.0959933540929427,-0.06,-0.2322766259272089,141804969582.0,-1.2372301756933568,-0.1381349386037344,2020-12-26,NFLX
49247000000.0,0.12784535098584685,-0.014000000000000012,0.025872304968232476,199104111787.0,1.2925864426322435,-0.1406557964522487,2020-12-26,CSCO
59387000000.0,0.213598935794029,0.04999999999999993,-0.05375950032663597,261348000000.0,0.707059776603114,0.2437655860349128,2020-12-26,INTC
81741000000.0,0.0641905530884134,-0.04800000000000004,0.022798083059097335,118710844334.0,3.1564237240603226,-0.04401342782543831,2020-12-26,IBM
40704000000.0,0.0,0.02300000000000002,0.03178707224334601,37821522102.0,3.8236788574116476,-0.001024940211821016,2020-12-26,DAL
2602497000.0,0.366821940620873,-0.04299999999999998,0.1310326154980113,16768380000.0,-0.6513965899989176,0.10528506034124001,2020-12-26,MRVL
19958700000.0,0.2403162530625742,-0.040000000000000036,-0.05953228002883786,126189987233.0,-0.4222232927070265,0.15087565674255696,2020-12-26,LLY
837591000.0,0.2500599934813053,0.008000000000000007,-0.2582222115949191,15539567177.0,-0.4867574512947057,-0.23341375150784063,2020-12-26,ANET
503410000.0,0.2312230587393973,-0.12,-0.40488448439123637,5518403176.0,-1.2565308621260214,0.16903515332834718,2020-12-26,NTNX
107927000000.0,0.12608522427196162,0.015000000000000013,-0.034469493648237606,141806000000.0,7.541975117135683,0.1139337952270978,2020-12-26,NVO
4319000000.0,0.233387358184765,-0.213,-0.17780316009899105,51427319243.0,-0.9971517390815676,0.46798975672215115,2020-12-26,AMD
48851000000.0,0.15741745307158503,0.0,-0.07521202483719522,216826914222.0,1.227979135186686,-0.11397557666214381,2020-12-26,PFE
91154000000.0,0.13151370208657875,-0.038000000000000034,-0.05609344420167545,1203062645959.0,-0.23958158181597017,-0.006113316947122953,2021-06-24,MSFT
595409000.0,0.4794200289212961,0.04499999999999993,-0.19816175232811037,15657900000.0,-1.1216513976784035,1.9210526315789473,2021-06-24,PLTR
135987000000.0,0.11828336532168517,-0.04500000000000004,-0.23545253168115324,916153935005.0,-0.581663320379435,-0.04476840363937137,2021-06-24,AMZN
7000132000.0,0.11919889510654942,0.018000000000000016,-0.4047000595288715,75401831447.0,-1.759716950986868,0.8630594522378089,2021-06-24,TSLA
947938300000.0,0.07511849663633172,-0.030000000000000027,-0.03018976370283735,301311020922.0,24.653702568539284,0.4240196078431374,2021-06-24,TSM
6910000000.0,0.2117221418234443,-0.03500000000000003,-0.2886555486926086,124564860000.0,-0.5581477180241959,0.44827586206896564,2021-06-24,NVDA
215639000000.0,0.046582482760539605,0.009000000000000008,-0.05930621112051441,1287658197000.0,0.52139679659431,0.44850039463299124,2021-06-24,AAPL
8830669000.0,0.08835480075178902,-0.09800000000000003,-0.24477159406888718,141804969582.0,-1.4283708469132255,-0.1381349386037344,2021-06-24,NFLX
49247000000.0,0.12784535098584685,-0.014000000000000012,0.025872304968232476,199104111787.0,1.2925864426322435,-0.1406557964522487,2021-06-24,CSCO
59387000000.0,0.213598935794029,0.04999999999999993,-0.05375950032663597,261348000000.0,0.707059776603114,0.2437655860349128,2021-06-24,INTC
79919000000.0,0.07164754313742665,-0.07700000000000007,0.00985607601814529,118710844334.0,3.120640352233768,-0.04401342782543831,2021-06-24,IBM
39450000000.0,0.0,0.279,-0.04103262190675288,37821522102.0,2.702478512794489,-0.001024940211821016,2021-06-24,DAL
2300992000.0,0.3498617118182071,0.05700000000000005,-0.04490260131082489,16768380000.0,-1.9024842358269687,0.10528506034124001,2021-06-24,MRVL
21222100000.0,0.250225001295819,-0.04600000000000004,0.06249687090088015,126189987233.0,0.1281010406482698,0.15087565674255696,2021-06-24,LLY
1129167000.0,0.24228568493411515,0.0010000000000000009,-0.3140708279623323,15539567177.0,-0.6397416475315293,-0.23341375150784063,2021-06-24,ANET
503410000.0,0.2312230587393973,-0.12,-0.40488448439123637,5518403176.0,-1.2565308621260214,0.16903515332834718,2021-06-24,NTNX
111780000000.0,0.13028269815709428,0.01100000000000001,0.0007520412548345509,141806000000.0,9.653065466690801,0.1139337952270978,2021-06-24,NVO
4319000000.0,0.233387358184765,-0.213,-0.17780316009899105,51427319243.0,-0.9971517390815676,0.46798975672215115,2021-06-24,AMD
52824000000.0,0.14940178706648494,-0.029000000000000026,0.005290602519697028,216826914222.0,1.3970366787223036,-0.11397557666214381,2021-06-24,PFE
96571000000.0,0.13499911981857907,-0.04399999999999993,-0.12494563247553461,1203062645959.0,-0.04489596006010361,0.23379952501225182,2021-12-21,MSFT
595409000.0,0.4794200289212961,0.04499999999999993,-0.19816175232811037,15657900000.0,-1.1216513976784035,1.9210526315789473,2021-12-21,PLTR
135987000000.0,0.11828336532168517,-0.04500000000000004,-0.23545253168115324,916153935005.0,-0.581663320379435,-0.04476840363937137,2021-12-21,AMZN
7000132000.0,0.11919889510654942,0.018000000000000016,-0.4047000595288715,75401831447.0,-1.759716950986868,0.8630594522378089,2021-12-21,TSLA
947938300000.0,0.07511849663633172,-0.030000000000000027,-0.03018976370283735,301311020922.0,24.653702568539284,0.4240196078431374,2021-12-21,TSM
