disruptive_analysis_revenue,disruptive_analysis_rd_intensity,disruptive_analysis_margin_trend,disruptive_analysis_growth_rate,valuation_analysis_market_cap,valuation_analysis_margin_of_safety,llm_signal,price_change_6m,date,ticker
666701000.0,0.5477177925336845,-0.019000000000000017,0,7841069771.0,-1.4682093229118163,neutral,0.19091990483743068,2024-06-05,RDDT
125843000000.0,0.13410360528595155,-0.029999999999999916,-0.12007132119008496,3126133130265.0,-0.5518213515630733,bearish,0.14864279135287425,2024-06-05,MSFT
742555000.0,0.41150217828982366,-0.132,-0.3204234020608178,50914986146.0,-1.1282466919703644,bullish,0.2478260869565219,2024-06-05,PLTR
280522000000.0,0.12808621070718162,-0.06,-0.2733795432881595,1873675837271.0,-0.4952695107843137,bearish,0.25158795912731285,2024-06-05,AMZN
24578000000.0,0.05464236308894133,-0.015999999999999986,-0.220636732623034,559854307053.0,-0.9363568769997346,bearish,-0.2571525596400374,2024-06-05,TSLA
666701000.0,0.5477177925336845,-0.019000000000000017,0,7841069771.0,-1.4682093229118163,neutral,0.19091990483743068,2024-06-06,RDDT
125843000000.0,0.13410360528595155,-0.029999999999999916,-0.12007132119008496,3126133130265.0,-0.5518213515630733,bearish,0.14864279135287425,2024-06-06,MSFT
742555000.0,0.41150217828982366,-0.132,-0.3204234020608178,50914986146.0,-1.1282466919703644,neutral,0.2478260869565219,2024-06-06,PLTR
280522000000.0,0.12808621070718162,-0.06,-0.2733795432881595,1873675837271.0,-0.4952695107843137,bearish,0.25158795912731285,2024-06-06,AMZN
24578000000.0,0.05464236308894133,-0.015999999999999986,-0.220636732623034,559854307053.0,-0.9363568769997346,bearish,-0.2571525596400374,2024-06-06,TSLA
666701000.0,0.5477177925336845,-0.019000000000000017,0,7841069771.0,-1.4682093229118163,neutral,0.19091990483743068,2024-06-07,RDDT
125843000000.0,0.13410360528595155,-0.029999999999999916,-0.12007132119008496,3126133130265.0,-0.5518213515630733,bearish,0.14864279135287425,2024-06-07,MSFT
742555000.0,0.41150217828982366,-0.132,-0.3204234020608178,50914986146.0,-1.1282466919703644,neutral,0.2478260869565219,2024-06-07,PLTR
280522000000.0,0.12808621070718162,-0.06,-0.2733795432881595,1873675837271.0,-0.4952695107843137,bearish,0.25158795912731285,2024-06-07,AMZN
24578000000.0,0.05464236308894133,-0.015999999999999986,-0.220636732623034,559854307053.0,-0.9363568769997346,bearish,-0.2571525596400374,2024-06-07,TSLA
666701000.0,0.5477177925336845,-0.019000000000000017,0,7841069771.0,-1.4682093229118163,neutral,0.19091990483743068,2024-06-08,RDDT
125843000000.0,0.13410360528595155,-0.029999999999999916,-0.12007132119008496,3126133130265.0,-0.5518213515630733,bearish,0.14864279135287425,2024-06-08,MSFT
742555000.0,0.41150217828982366,-0.132,-0.3204234020608178,50914986146.0,-1.1282466919703644,bullish,0.2478260869565219,2024-06-08,PLTR
280522000000.0,0.12808621070718162,-0.06,-0.2733795432881595,1873675837271.0,-0.4952695107843137,bearish,0.25158795912731285,2024-06-08,AMZN
24578000000.0,0.05464236308894133,-0.015999999999999986,-0.220636732623034,559854307053.0,-0.9363568769997346,bearish,-0.2571525596400374,2024-06-08,TSLA
666701000.0,0.5477177925336845,-0.019000000000000017,0,7841069771.0,-1.4682093229118163,neutral,0.19091990483743068,2024-06-09,RDDT
125843000000.0,0.13410360528595155,-0.029999999999999916,-0.12007132119008496,3126133130265.0,-0.5518213515630733,bearish,0.14864279135287425,2024-06-09,MSFT
742555000.0,0.41150217828982366,-0.132,-0.3204234020608178,50914986146.0,-1.1282466919703644,bullish,0.2478260869565219,2024-06-09,PLTR
280522000000.0,0.12808621070718162,-0.06,-0.2733795432881595,1873675837271.0,-0.4952695107843137,bearish,0.25158795912731285,2024-06-09,AMZN
24578000000.0,0.05464236308894133,-0.015999999999999986,-0.220636732623034,559854307053.0,-0.9363568769997346,bearish,-0.2571525596400374,2024-06-09,TSLA
666701000.0,0.5477177925336845,-0.019000000000000017,0,7841069771.0,-1.4682093229118163,neutral,0.19091990483743068,2024-06-10,RDDT
125843000000.0,0.13410360528595155,-0.029999999999999916,-0.12007132119008496,3126133130265.0,-0.5518213515630733,bearish,0.14864279135287425,2024-06-10,MSFT
742555000.0,0.41150217828982366,-0.132,-0.3204234020608178,50914986146.0,-1.1282466919703644,neutral,0.2478260869565219,2024-06-10,PLTR
280522000000.0,0.12808621070718162,-0.06,-0.2733795432881595,1873675837271.0,-0.4952695107843137,bearish,0.25158795912731285,2024-06-10,AMZN
24578000000.0,0.05464236308894133,-0.015999999999999986,-0.220636732623034,559854307053.0,-0.9363568769997346,bearish,-0.2571525596400374,2024-06-10,TSLA
666701000.0,0.5477177925336845,-0.019000000000000017,0,7841069771.0,-1.4682093229118163,neutral,0.19091990483743068,2024-06-11,RDDT
125843000000.0,0.13410360528595155,-0.029999999999999916,-0.12007132119008496,3126133130265.0,-0.5518213515630733,bearish,0.14864279135287425,2024-06-11,MSFT
742555000.0,0.41150217828982366,-0.132,-0.3204234020608178,50914986146.0,-1.1282466919703644,bullish,0.2478260869565219,2024-06-11,PLTR
